5.1895 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
74.9290 	EXP 	grating: autoDraw = False
75.2824 	EXP 	New trial (rep=33, index=0): None
75.2847 	DATA 	Keypress: down
75.2960 	EXP 	fixation: autoDraw = False
75.2960 	EXP 	grating: autoDraw = False
75.2960 	EXP 	grating: ori = 2.0
75.2960 	EXP 	fixation: autoDraw = True
76.2964 	EXP 	fixation: autoDraw = False
76.2964 	EXP 	grating: autoDraw = True
76.5965 	EXP 	grating: autoDraw = False
76.9162 	EXP 	New trial (rep=34, index=0): None
76.9184 	DATA 	Keypress: down
76.9297 	EXP 	fixation: autoDraw = False
76.9297 	EXP 	grating: autoDraw = False
76.9297 	EXP 	grating: ori = -4.0
76.9297 	EXP 	fixation: autoDraw = True
77.9302 	EXP 	fixation: autoDraw = False
77.9302 	EXP 	grating: autoDraw = True
78.2305 	EXP 	grating: autoDraw = False
78.4680 	EXP 	New trial (rep=35, index=0): None
78.4704 	DATA 	Keypress: down
78.4810 	EXP 	fixation: autoDraw = False
78.4810 	EXP 	grating: autoDraw = False
78.4810 	EXP 	grating: ori = 0.0
78.4810 	EXP 	fixation: autoDraw = True
79.4811 	EXP 	fixation: autoDraw = False
79.4811 	EXP 	grating: autoDraw = True
79.7809 	EXP 	grating: autoDraw = False
80.0165 	EXP 	New trial (rep=36, index=0): None
80.0179 	DATA 	Keypress: up
80.0310 	EXP 	fixation: autoDraw = False
80.0310 	EXP 	grating: autoDraw = False
80.0310 	EXP 	grating: ori = 1.0
80.0310 	EXP 	fixation: autoDraw = True
81.0314 	EXP 	fixation: autoDraw = False
81.0314 	EXP 	grating: autoDraw = True
81.3313 	EXP 	grating: autoDraw = False
81.9005 	EXP 	New trial (rep=37, index=0): None
81.9024 	DATA 	Keypress: down
81.9151 	EXP 	fixation: autoDraw = False
81.9151 	EXP 	grating: autoDraw = False
81.9151 	EXP 	grating: ori = -5.0
81.9151 	EXP 	fixation: autoDraw = True
82.9157 	EXP 	fixation: autoDraw = False
82.9157 	EXP 	grating: autoDraw = True
83.2156 	EXP 	grating: autoDraw = False
83.4677 	EXP 	New trial (rep=38, index=0): None
83.4694 	DATA 	Keypress: down
83.4823 	EXP 	fixation: autoDraw = False
83.4823 	EXP 	grating: autoDraw = False
83.4823 	EXP 	grating: ori = 2.0
83.4823 	EXP 	fixation: autoDraw = True
84.4829 	EXP 	fixation: autoDraw = False
